price_open,price_high,price_low,price_close,volume_traded,trades_count,time_close,time_open,time_period_start,time_period_end,market_cap
265.02,266.5,265.02,265.52,1627.8501623400002,592,2015-10-20T03:59:41.0000000Z,2015-10-20T00:00:25.0000000Z,2015-10-20T00:00:00.000000Z,2015-10-20T04:00:00.0000000Z,3828755878.961478
265.29,269.03,264.39,268.36,1845.3670978500002,591,2015-10-20T07:59:50.0000000Z,2015-10-20T04:02:32.0000000Z,2015-10-20T04:02:00.000000Z,2015-10-20T08:00:00.0000000Z,3869708224.1567593
268.35,268.84,266.0,266.9,1952.1050843300006,564,2015-10-20T11:58:21.0000000Z,2015-10-20T08:00:44.0000000Z,2015-10-20T08:00:00.000000Z,2015-10-20T11:59:00.0000000Z,3848655257.964819
266.94,269.9,266.31,268.89,1945.8893919900001,566,2015-10-20T15:59:23.0000000Z,2015-10-20T12:00:41.0000000Z,2015-10-20T12:00:00.000000Z,2015-10-20T16:00:00.0000000Z,3877350739.281229
268.88,273.97,267.92,271.86,4176.2320870700005,1246,2015-10-20T19:58:48.0000000Z,2015-10-20T16:01:50.0000000Z,2015-10-20T16:01:00.000000Z,2015-10-20T19:59:00.0000000Z,3920177663.657983
272.04,273.25,269.01,270.97,2892.200261560002,596,2015-10-20T23:58:11.0000000Z,2015-10-20T20:00:53.0000000Z,2015-10-20T20:00:00.000000Z,2015-10-20T23:59:00.0000000Z,3907344006.184815
270.99,272.28,270.24,270.93,1047.17150975,415,2015-10-21T03:58:52.0000000Z,2015-10-21T00:00:05.0000000Z,2015-10-21T00:00:00.000000Z,2015-10-21T03:59:00.0000000Z,4040476348.853721
270.93,272.01,266.36,268.72,2214.65035342,697,2015-10-21T07:59:54.0000000Z,2015-10-21T04:00:08.0000000Z,2015-10-21T04:00:00.000000Z,2015-10-21T08:00:00.0000000Z,4007517825.504639
268.95,269.47,264.5,266.68,2481.34709435,1386,2015-10-21T11:59:27.0000000Z,2015-10-21T08:00:26.0000000Z,2015-10-21T08:00:00.000000Z,2015-10-21T12:00:00.0000000Z,3977094573.1824093
266.67,269.0,264.1,268.6,2941.8305885799987,731,2015-10-21T15:58:02.0000000Z,2015-10-21T12:00:05.0000000Z,2015-10-21T12:00:00.000000Z,2015-10-21T15:59:00.0000000Z,4005728222.426861
268.25,268.99,268.01,268.73,870.0288979500002,319,2015-10-21T19:58:48.0000000Z,2015-10-21T16:00:04.0000000Z,2015-10-21T16:00:00.000000Z,2015-10-21T19:59:00.0000000Z,4007666959.094454
268.73,268.8,267.3,267.8,1062.4178518900005,359,2015-10-21T23:59:36.0000000Z,2015-10-21T20:01:37.0000000Z,2015-10-21T20:01:00.000000Z,2015-10-22T00:00:00.0000000Z,3993797535.2416725
267.99,268.69,267.3,267.93,1030.8373985399992,439,2015-10-22T03:58:04.0000000Z,2015-10-22T00:00:06.0000000Z,2015-10-22T00:00:00.000000Z,2015-10-22T03:59:00.0000000Z,3843146086.859647
267.69,270.5,267.6,270.11,2408.7120711300004,784,2015-10-22T07:59:57.0000000Z,2015-10-22T04:00:27.0000000Z,2015-10-22T04:00:00.000000Z,2015-10-22T08:00:00.0000000Z,3874415666.48624
270.28,279.97,270.26,276.0,13992.382248010003,3077,2015-10-22T11:59:57.0000000Z,2015-10-22T08:00:05.0000000Z,2015-10-22T08:00:00.000000Z,2015-10-22T12:00:00.0000000Z,3958900906.8535147
276.0,278.44,274.6,274.99,4685.296783140005,1007,2015-10-22T15:59:37.0000000Z,2015-10-22T12:00:04.0000000Z,2015-10-22T12:00:00.000000Z,2015-10-22T16:00:00.0000000Z,3944413624.5494494
275.05,275.31,274.0,274.0,1870.2979634299995,787,2015-10-22T19:59:54.0000000Z,2015-10-22T16:00:37.0000000Z,2015-10-22T16:00:00.000000Z,2015-10-22T20:00:00.0000000Z,3930213219.122692
274.09,276.47,274.09,275.83,3253.243120250003,652,2015-10-22T23:59:58.0000000Z,2015-10-22T20:00:57.0000000Z,2015-10-22T20:00:00.000000Z,2015-10-23T00:00:00.0000000Z,3956462453.3963947
275.83,277.04,275.15,275.17,1100.8800886700003,513,2015-10-23T03:59:25.0000000Z,2015-10-23T00:00:32.0000000Z,2015-10-23T00:00:00.000000Z,2015-10-23T04:00:00.0000000Z,4017591391.270887
275.18,280.5,275.15,278.97,5889.231167820001,1911,2015-10-23T07:58:51.0000000Z,2015-10-23T04:01:14.0000000Z,2015-10-23T04:01:00.000000Z,2015-10-23T07:59:00.0000000Z,4073072901.9254975
278.97,280.9,278.03,279.2,2805.127725689998,901,2015-10-23T11:59:20.0000000Z,2015-10-23T08:00:33.0000000Z,2015-10-23T08:00:00.000000Z,2015-10-23T12:00:00.0000000Z,4076430993.3598547
279.2,279.4,275.36,278.2,3855.9003303800005,895,2015-10-23T15:59:54.0000000Z,2015-10-23T12:00:18.0000000Z,2015-10-23T12:00:00.000000Z,2015-10-23T16:00:00.0000000Z,4061830595.819168
278.0,278.7,277.46,278.7,1273.0940402700007,359,2015-10-23T19:59:15.0000000Z,2015-10-23T16:00:05.0000000Z,2015-10-23T16:00:00.000000Z,2015-10-23T20:00:00.0000000Z,4069130794.589512
278.7,279.25,277.75,279.21,933.329985,579,2015-10-23T23:59:42.0000000Z,2015-10-23T20:00:15.0000000Z,2015-10-23T20:00:00.000000Z,2015-10-24T00:00:00.0000000Z,4076576997.335262
279.04,281.58,279.0,281.58,3530.6465110899994,1373,2015-10-24T03:59:58.0000000Z,2015-10-24T00:01:20.0000000Z,2015-10-24T00:01:00.000000Z,2015-10-24T04:00:00.0000000Z,4111179939.5066905
281.57,282.4,279.7,280.02,2334.814846639998,1013,2015-10-24T07:59:48.0000000Z,2015-10-24T04:00:20.0000000Z,2015-10-24T04:00:00.000000Z,2015-10-24T08:00:00.0000000Z,4088403319.3432174
280.01,281.7,279.7,280.31,853.4190550400002,473,2015-10-24T11:54:56.0000000Z,2015-10-24T08:00:42.0000000Z,2015-10-24T08:00:00.000000Z,2015-10-24T11:55:00.0000000Z,4092637434.6300173
280.31,282.4,279.99,282.04,1324.4642368599998,478,2015-10-24T15:59:58.0000000Z,2015-10-24T12:00:24.0000000Z,2015-10-24T12:00:00.000000Z,2015-10-24T16:00:00.0000000Z,4117896122.375407
282.04,282.4,280.35,280.69,1357.4042454700002,847,2015-10-24T19:59:57.0000000Z,2015-10-24T16:00:00.0000000Z,2015-10-24T16:00:00.000000Z,2015-10-24T20:00:00.0000000Z,4098185585.695479
280.7,284.47,280.7,284.19,4533.83767214,707,2015-10-24T23:59:48.0000000Z,2015-10-24T20:00:36.0000000Z,2015-10-24T20:00:00.000000Z,2015-10-25T00:00:00.0000000Z,4149286977.0878854
284.19,291.61,281.2,288.15,12088.461691530003,2114,2015-10-25T03:59:36.0000000Z,2015-10-25T00:01:18.0000000Z,2015-10-25T00:01:00.000000Z,2015-10-25T04:00:00.0000000Z,4207104551.3490047
288.19,292.98,286.34,289.98,4918.429731650002,1507,2015-10-25T07:59:55.0000000Z,2015-10-25T04:00:15.0000000Z,2015-10-25T04:00:00.000000Z,2015-10-25T08:00:00.0000000Z,4233823278.848463
289.98,292.8,287.02,288.55,3862.32791626,898,2015-10-25T11:59:54.0000000Z,2015-10-25T08:00:10.0000000Z,2015-10-25T08:00:00.000000Z,2015-10-25T12:00:00.0000000Z,4212944710.3652797
288.57,295.99,288.12,295.35,5533.446260390002,1506,2015-10-25T15:59:46.0000000Z,2015-10-25T12:00:12.0000000Z,2015-10-25T12:00:00.000000Z,2015-10-25T16:00:00.0000000Z,4312227413.641953
295.36,295.36,292.98,294.22,2377.811578200001,895,2015-10-25T19:59:47.0000000Z,2015-10-25T16:00:27.0000000Z,2015-10-25T16:00:00.000000Z,2015-10-25T20:00:00.0000000Z,4295728964.420979
